date,InvoiceNo,StockCode,CustomerID,total_price
2011-06-10,44,465,41,58245.12
2011-06-12,38,647,38,12397.09
2011-06-13,52,698,49,19696.66
2011-06-14,52,597,42,33324.49
2011-06-15,50,747,42,44954.18
2011-06-16,81,736,74,32252.1
2011-06-17,46,532,35,19053.53
2011-06-19,60,721,57,22421.48
2011-06-20,59,719,49,26110.99
2011-06-21,48,637,45,19827.91
2011-06-22,57,638,55,21143.75
2011-06-23,69,803,64,22469.62
2011-06-24,45,484,40,16016.04
2011-06-26,26,536,24,7032.36
2011-06-27,35,536,31,13381.75
2011-06-28,49,518,41,30470.88
2011-06-29,39,404,36,12569.78
2011-06-30,65,692,55,41709.24
2011-07-01,42,535,35,12146.44
2011-07-03,25,421,24,5972.7300000000005
2011-07-04,37,619,32,30941.37
2011-07-05,64,511,58,25988.510000000002
2011-07-06,66,721,61,22934.22
2011-07-07,73,713,67,27860.38
2011-07-08,46,550,42,17538.5
2011-07-10,24,601,20,5959.54
2011-07-11,48,668,43,20008.83
2011-07-12,45,518,41,17938.49
2011-07-13,56,714,50,19411.52
2011-07-14,69,799,61,31979.04
2011-07-15,37,557,34,11814.7
2011-07-17,50,739,45,16926.15
2011-07-18,46,747,45,22001.63
2011-07-19,62,826,57,46583.01
2011-07-20,53,686,47,27021.06
2011-07-21,70,812,59,30271.94
2011-07-22,37,534,34,14628.880000000001
2011-07-24,57,621,53,26777.92
2011-07-25,53,653,49,19676.55
2011-07-26,46,580,44,17284.301
2011-07-27,44,546,39,22846.13
2011-07-28,78,765,68,54171.95
2011-07-29,62,587,57,17166.75
2011-07-31,41,784,37,33112.36
2011-08-01,39,653,35,19778.12
2011-08-02,41,649,39,20272.0
2011-08-03,62,779,59,26572.83
2011-08-04,79,753,76,62074.19
2011-08-05,52,746,47,19703.95
2011-08-07,29,402,28,7541.91
2011-08-08,38,652,38,19743.98
2011-08-09,40,529,38,25949.920000000002
2011-08-10,43,507,42,19853.41
2011-08-11,64,788,58,54325.27
2011-08-12,46,473,40,17970.170000000002
2011-08-14,25,380,21,5701.87
2011-08-15,48,614,46,17235.95
2011-08-16,50,626,44,16072.710000000001
2011-08-17,51,855,45,48554.44
2011-08-18,67,853,64,54034.98
2011-08-19,55,555,54,17326.07
2011-08-21,38,651,36,14410.25
2011-08-22,63,732,57,29617.26
2011-08-23,60,778,56,22384.02
2011-08-24,72,828,59,38371.37
2011-08-25,72,719,68,22441.260000000002
2011-08-26,44,595,41,24095.49
2011-08-28,37,734,36,10686.56
2011-08-30,23,333,23,8805.17
2011-08-31,42,564,39,20527.89
2011-09-01,76,774,69,37358.62
2011-09-02,64,699,58,30203.86
2011-09-04,49,807,45,16930.43
2011-09-05,67,790,57,35439.91
2011-09-06,61,681,54,25466.97
2011-09-07,46,636,42,21967.420000000002
2011-09-08,72,778,63,23048.38
2011-09-09,58,781,52,25082.86
2011-09-11,75,1017,68,35206.92
2011-09-12,67,807,62,27777.36
2011-09-13,63,925,61,48116.5
2011-09-14,65,725,58,22013.75
2011-09-15,79,791,70,71926.69
2011-09-16,46,722,44,23245.03
2011-09-18,27,829,25,15639.55
2011-09-19,69,762,63,46588.21
2011-09-20,67,779,53,103377.68
2011-09-21,67,968,65,38472.1
2011-09-22,111,1089,94,57734.98
2011-09-23,58,1030,56,31753.75
2011-09-25,75,979,74,31164.781
2011-09-26,65,897,62,29265.511
2011-09-27,75,806,67,29212.32
2011-09-28,80,1070,72,39001.91
2011-09-29,103,1044,93,44671.27
2011-09-30,70,807,60,40023.44
2011-10-02,34,858,32,11479.98
2011-10-03,65,889,48,62143.07
2011-10-04,74,939,65,38532.090000000004
2011-10-05,94,1015,82,73975.56999999999
2011-10-06,116,1152,98,60258.53
2011-10-07,85,905,74,49089.47
2011-10-09,38,787,35,12215.51
2011-10-10,90,1213,83,42962.8
2011-10-11,78,1018,69,46401.14
2011-10-12,82,808,73,27655.2
2011-10-13,74,1032,67,32850.25
2011-10-14,70,866,61,32071.62
2011-10-16,35,800,32,21767.94
2011-10-17,85,1176,76,46868.65
2011-10-18,77,994,73,37248.16
2011-10-19,77,1016,71,37227.88
2011-10-20,86,1145,76,60910.3
2011-10-21,62,778,56,60364.01
2011-10-23,42,969,39,12156.57
2011-10-24,73,1050,61,38897.89
2011-10-25,72,1007,65,36113.86
2011-10-26,92,962,77,34105.36
2011-10-27,104,1048,91,55747.2
2011-10-28,65,800,60,37194.58
2011-10-30,96,1213,88,34397.95
2011-10-31,63,1051,61,33006.87
2011-11-01,76,881,74,29069.56
2011-11-02,83,941,79,38536.44
2011-11-03,100,1013,86,60536.090000000004
2011-11-04,87,1127,73,55716.47
2011-11-06,101,1310,88,42508.590000000004
2011-11-07,90,953,81,28602.73
2011-11-08,99,1024,95,38151.91
2011-11-09,118,1031,101,61241.58
2011-11-10,125,1286,112,70373.03
2011-11-11,93,1117,87,36932.07
2011-11-13,83,1165,75,28416.01
2011-11-14,104,1294,93,58595.22
2011-11-15,104,1040,93,47535.51
2011-11-16,124,1101,111,48154.12
2011-11-17,136,1258,125,55683.49
2011-11-18,103,1002,98,36606.25
2011-11-20,98,1201,91,29642.39
2011-11-21,96,1050,85,45202.01
2011-11-22,130,1193,120,49438.55
2011-11-23,130,1340,107,71722.75
2011-11-24,109,1115,98,38359.69
2011-11-25,73,906,69,26542.33
2011-11-27,56,1107,51,16969.25
2011-11-28,114,1295,97,51632.21
2011-11-29,126,1163,109,48640.57
2011-11-30,99,996,92,41396.79
2011-12-01,118,961,111,44405.37
2011-12-02,114,989,95,44526.1
2011-12-04,62,1014,58,20232.0
2011-12-05,116,1408,105,58081.090000000004
2011-12-06,110,1143,103,45989.66
2011-12-07,104,1046,94,69230.6
2011-12-08,113,1145,105,50395.96
2011-12-09,41,457,35,184329.66
